h1,h2,h3,lr,reg,init,activation,train_acc,train_loss,val_acc,val_loss,time,weight_path,log_path,test_acc
128,64,32,0.001,0.0001,he,tanh,42.42,1.6809891831200627,41.3,1.7037556915246488,447.41,weights/best_model_he_tanh_128_64_32_lr0.001_reg0.0001.pkl,logs/history_he_tanh_128_64_32_lr0.001_reg0.0001.pkl,41.949999999999996
128,64,32,0.001,0.0001,he,sigmoid,20.51111111111111,2.3114608241648607,20.16,2.312097737995647,427.32,weights/best_model_he_sigmoid_128_64_32_lr0.001_reg0.0001.pkl,logs/history_he_sigmoid_128_64_32_lr0.001_reg0.0001.pkl,20.119999999999997
128,64,32,0.001,0.0001,xavier,relu,39.873333333333335,1.7325495196952108,38.6,1.752578611757747,423.2,weights/best_model_xavier_relu_128_64_32_lr0.001_reg0.0001.pkl,logs/history_xavier_relu_128_64_32_lr0.001_reg0.0001.pkl,39.78
128,64,32,0.001,0.0001,xavier,tanh,40.14666666666667,1.7331771410680978,38.940000000000005,1.754542792755157,435.54,weights/best_model_xavier_tanh_128_64_32_lr0.001_reg0.0001.pkl,logs/history_xavier_tanh_128_64_32_lr0.001_reg0.0001.pkl,39.56
128,64,32,0.001,0.0001,xavier,sigmoid,20.037777777777777,2.3101256745763727,19.92,2.310459772728521,443.52,weights/best_model_xavier_sigmoid_128_64_32_lr0.001_reg0.0001.pkl,logs/history_xavier_sigmoid_128_64_32_lr0.001_reg0.0001.pkl,19.950000000000003
128,64,32,0.001,0.0001,normal,relu,10.0,2.3045956850825213,10.56,2.304595686634649,439.16,weights/best_model_normal_relu_128_64_32_lr0.001_reg0.0001.pkl,logs/history_normal_relu_128_64_32_lr0.001_reg0.0001.pkl,10.92
128,64,32,0.001,0.0001,normal,tanh,10.0,2.3045744637389727,10.14,2.3045754616110483,432.99,weights/best_model_normal_tanh_128_64_32_lr0.001_reg0.0001.pkl,logs/history_normal_tanh_128_64_32_lr0.001_reg0.0001.pkl,10.13
128,64,32,0.001,0.0001,normal,sigmoid,10.0,2.3046006956902083,11.18,2.3046007002617044,449.71,weights/best_model_normal_sigmoid_128_64_32_lr0.001_reg0.0001.pkl,logs/history_normal_sigmoid_128_64_32_lr0.001_reg0.0001.pkl,12.04
128,64,32,0.001,0.001,he,relu,43.248888888888885,1.8609734414186283,42.120000000000005,1.895376090888156,438.9,weights/best_model_he_relu_128_64_32_lr0.001_reg0.001.pkl,logs/history_he_relu_128_64_32_lr0.001_reg0.001.pkl,42.559999999999995
128,64,32,0.001,0.001,he,tanh,43.30444444444444,1.872008496326709,41.18,1.903441231865823,424.84,weights/best_model_he_tanh_128_64_32_lr0.001_reg0.001.pkl,logs/history_he_tanh_128_64_32_lr0.001_reg0.001.pkl,42.47
